REGION;DEPARTEMENT;NOM DU MUSEE;REF MUSEE;ADR;CP;VILLE;TELEPHONE1;FAX;SITWEB;FERMETURE ANNUELLE;PERIODE OUVERTURE;JOURS NOCTURNES;DATE APPELLATION;Date retrait appellation par Haut Conseil;coordonnees_finales;coordonnees_ban;coordonnees_cp
PROVENCE-ALPES-CÔTE D'AZUR;ALPES-MARITIMES;Ecomusée du Pays de la Roudoule;0609801;Placette de l'Europe;06260;PUGET-ROSTANG;0493051325;0493051325;www.ecomusee-roudoule.fr;Vacances scolaires de Noël et première semaine de janvier;Ouvert de mai à septembre du mardi au dimanche de 10h à 12h et 14h à 18h, d'octobre à avril du mardi au vendredi de 10h  à 12h et 14h à 18h sur rendez-vous le week-end;;01/02/2003;;43.973638, 6.91786;43.973638, 6.91786;43.9759308664, 6.94521623557
PAYS DE LA LOIRE;VENDEE;Ecomusée du Marais Breton Vendéen;8501201;Le Daviaud;85550;LA BARRE-DE-MONTS;0251938484;0251492670;www.ecomusee-ledaviaud.com;11 novembre;Ouvert de mars à mai du mercredi au dimanchei de 14h à 18h ,mai, juin et septembre ouvert du mercredi au dimanche de 14h à 18h30. Juillet-août tlj de 10h à 19h30 le samedi de 14h à 19h30;;01/02/2003;;46.875553, -2.102855;46.875553, -2.102855;46.8721318025, -2.10134483894
PROVENCE-ALPES-CÔTE D'AZUR;ALPES-MARITIMES;Musée des Beaux-Arts Jules Chéret;0608803;33, Avenue des Baumettes;06000;NICE;0492152828;0493976707;www.musee-beaux-arts-nice.org;1er janvier, le dimanche de Pâques, le 1er mai, le 25 décembre;Ouvert du mardi au dimanche de 11h à 18h et du 23 juin au 15 octobre de 10h à 18h;;06/01/2002;;43.694886, 7.248937;43.694886, 7.248937;43.7122279855, 7.23752896461
PROVENCE-ALPES-CÔTE D'AZUR;ALPES-MARITIMES;Musée d'Art et d'Histoire de Provence;0606902;2, Rue Mirabeau;06130;GRASSE;0493368020;0497055801;www.museesdegrasse.fr;1er janvier, 1er mai, 25 décembre - 3 semaines en novembre;Ouvert de mai à septembre de 10h à 19h et octobre à avril de 10h30 à 17h30;;01/02/2003;;43.657615, 6.922508;43.657615, 6.922508;43.6557670284, 6.93183304936
PROVENCE-ALPES-CÔTE D'AZUR;ALPES-MARITIMES;Muséum d'Histoire Naturelle;0608806;60  Boulevard Risso;06300;NICE;0497134680;0497134685;www.mhnnice.org ou www.nice-coteazur.org;1er janvier, dimanche de Pâques, 1er mai, 25 décembre;Ouvert du mardi au dimanche de 10h à 18h;;01/02/2003;;43.701924, 7.279572;43.701924, 7.279572;43.7122279855, 7.23752896461
PAYS DE LA LOIRE;VENDEE;Musée des Traditions de l'Île;8510601;Place de l'Eglise;85680;LA GUERINIERE;0251394139;;www.ile-noirmoutier.com/html/activites;Novembre à mars;Ouvert du mardi au samedi du 1er avril au 30 juin et du 1er septembre au 4 novembre de 10h à 12h30 et de 14h30 à 18h et tous les jours en juillet-août de 10h à 12h30 et de 14h30 à 18h30;;01/02/2003;;46.96396, -2.21192;46.96396, -2.21192;46.9670273976, -2.23095235091
PAYS DE LA LOIRE;SARTHE;Musée de Tessé;7218101;2, Avenue de Paderborn;72000;LE MANS;0243473851;0243474993;site de la ville - www.ville-lemans.fr;;Ouvert du 1er septembre au 30 juin du mardi au samedi de 9h à 12h et de 14h à 18h, dimanche et jours fériés de 10h à 12h30 et de 14h à 18h en juillet-août du mardi au dimanche de 10h à 12h30 et de 14h à 18h30;;06/01/2002;;48.009934, 0.204194;48.009934, 0.204194;47.9887754636, 0.199888551607
PROVENCE-ALPES-CÔTE D'AZUR;ALPES-MARITIMES;Villa-Musée Jean-Honoré Fragonard;0606901;23, Boulevard Fragonard;06130;GRASSE;0493365298;0493366487;www.museesdegrasse.fr;;Ouvert tous les jours de 10h à 19h du 2 mai au 30 septembre;;01/02/2003;;43.65674, 6.921089;43.65674, 6.921089;43.6557670284, 6.93183304936
PROVENCE-ALPES-CÔTE D'AZUR;ALPES-MARITIMES;Musée Départemental des Arts Asiatiques;0608816;"405, Promenade des Anglais
Quartier Arénas";06200;NICE;0492293700;0492293701;www.arts-asiatiques.com;1er janvier, 1er mai et 25 décembre;Ouvert du mercredi au lundi en juillet-août de 10h à 18h et de septembre à juin de 10h à 17h;;01/02/2003;;43.7122279855, 7.23752896461;;43.7122279855, 7.23752896461
PAYS DE LA LOIRE;MAINE-ET-LOIRE;Galerie David d'Angers;4900704;14, Rue du Musée;49100;ANGERS;0241053800;0241053839;www.angers.fr/mba;1er janvier, 1er mai, 1er et 11 novembre et 25 décembre;Ouvert du 2 janvier au 30 avril et du 22 septembre au 31 décembre du mardi au dimanche de 10 h à 18h et du 2 mai au 20 septembre 2015 tous les jours et de 10h à 18h;Nocturnes événementielles;06/01/2002;;47.469132, -0.554372;47.469132, -0.554372;47.4764503449, -0.55599583518
OCCITANIE;PYRENEES ORIENTALES;Musée de Cerdagne;6618101;Ferme Cal Mateu;66800;SAINTE-LEOCADIE;0468040805;0468040714;www.museedecerdagne.com;mi-novembre à la mi-décembre;Ouvert de février à avril et en octobre les mercredis, jeudis et vendredis à 11h, en mai et juin à 11h et à 15h30, en juillet-août du mercredi au lundi de 11h à 13h et de 15h à 19h, en septembre du mercredi au lundi de 11h à 13h et de 15h à 17h30;;01/02/2003;;42.439471, 2.002067;42.439471, 2.002067;42.4383838343, 2.06806880933
PAYS DE LA LOIRE;MAYENNE;Musée du Château de Mayenne;5314701;Place Juhel;53100;MAYENNE;0243001717;0243302110;www.museeduchateaudemayenne.fr;Janvier, 25 décembre, 1er mai;Ouvert du mardi au dimanche en février, novembre et décembre de 10h à 12h30 et de 14h à 17h, de mars à juin, et en septembre  et octobre de 10h à 12h30 et de 14h à 18h et tous les jours en juillet-août de 10h à 18h;;01/02/2003;;48.302352, -0.62016;48.302352, -0.62016;48.3036155584, -0.694747095996
PAYS DE LA LOIRE;MAYENNE;Musée des Sciences - CCSTI;5313002;21, Rue du Douanier Rousseau;53000;LAVAL;0243494782;0243494787;www.multimedia.com/ccstidelaval;Jours fériés;Ouvert tous les jours de 10h à 12h et de 14h à 18h pour les individuels et du lundi au vendredi de 9h à 12h et de 13h30 à 17h30 pour les groupes;;01/02/2003;;48.065559, -0.77102;48.065559, -0.77102;48.061207848, -0.766068526202
PAYS DE LA LOIRE;LOIRE-ATLANTIQUE;Musée du Pays de Retz;4402101;6, Rue des Moines;44580;BOURGNEUF-EN-RETZ;0240214083;0240214083;www.museepaysderetz.com;;Ouvert d'avril à juin et septembre et octobre du mardi au dimanche de 14h30 à 18h30 et en juillet-août tous les jours de 10h30 à 13h et de 16h à 19h;;01/02/2003;;47.042318, -1.952164;47.042318, -1.952164;47.0379472575, -1.92596110196
PAYS DE LA LOIRE;LOIRE-ATLANTIQUE;Musée de la Fève, Crèches et Traditions Populaires;4401501;2,  Place Jean Guihard;44130;BLAIN;0240799851;;www.musee-de-blain.fr;Jours fériés;Ouvert du mardi au vendredi de 10h à 12h et de 14h à 18h et samedi de 14h à 17h30;;01/02/2003;;47.475727, -1.764575;47.475727, -1.764575;47.4415843575, -1.78877692421
PAYS DE LA LOIRE;MAYENNE;Musée Municipal;5309601;Place de l'Hôtel de Ville;53500;ERNEE;0243087117;0243058721;www.ville-ernee.fr;;Ouvert du 1er au 31 juille et du 17 août au 4 septembre du mardi au vendredi de 13h15 à 16h;;01/02/2003;;48.296721, -0.93946;48.296721, -0.93946;48.3059363855, -0.916419053315
PAYS DE LA LOIRE;SARTHE;Musée Heurteloup-Chevalier;7207101;;72500;CHATEAU-DU-LOIR;;;;;;;01/02/2003;;47.682245, 0.420163;47.682245, 0.420163;47.6976279722, 0.40117269936
AUVERGNE-RHÔNE-ALPES;AIN;Musée de la Société d'Histoire et d'Archéologie;0106401;Mairie;01470;BRIORD;0474398325;0474398325;;;Ouvert le jeudi de 14h à 18h de mai à septembre;;01/02/2003;;45.778561, 5.485517;45.778561, 5.485517;45.805864462, 5.47727707691
AUVERGNE-RHÔNE-ALPES;AIN;Musée Chintreuil;0130501;"Hôtel de Ville
66, Rue Maréchal de Lattre de Tassigny";01190;PONT-DE-VAUX;0385514565;0385514565;www.musee-chintreuil.com;;Ouvert d'avril à novembre du mercredi au lundi de 14h à 18h. Sur rendez-vous pour les groupes;;01/02/2003;;46.4316836316, 4.96424452785;;46.4316836316, 4.96424452785
NOUVELLE-AQUITAINE;VIENNE;Musée Sainte-Croix;8619402;3 bis, Rue Jean Jaurès;86000;POITIERS;0549410753;0549886163;www.musees-poitiers.org ou www.alienor.org;1er janvier, 1er et 8 mai, 1er novembre, 25 décembre;Ouvert du 1er octobre au 31 mai le mardi de 10h à 17h, du mercredi au vendredi de 10h à 12h et de 13h15 à 17h, le week-end de 14h à 18h, du 1er juin au 30 septembre le mardi de 10h à 12h et de 13h15 à 20h, du mercredi au vendredi de 10h à 12h et de 13h15;Mardi jusqu'à 20h de juin à septembre;06/01/2002;;46.581133, 0.34448;46.581133, 0.34448;46.5833929687, 0.359226445482
NOUVELLE-AQUITAINE;PYRÉNÉES ATLANTIQUES;Musée Basque et de l'Histoire de Bayonne;6410201;37, Quai des Corsaires;64100;BAYONNE;0559590898;0559257338;www.musee-basque.com;Jours fériés;Ouvert du mardi au dimanche d'octobre à mars de 10h30 à 18h, et d'avril à septembre de 10h à 18h30,  tous les jours en juillet-août de 10h à 18h30 nocturnes le jeudi jusqu'à 20h30;jeudi fermeture à 20h et  jusqu'à 20h30 en juillet et août;01/02/2003;;43.491074, -1.473873;43.491074, -1.473873;43.4922522445, -1.46647823758
NOUVELLE-AQUITAINE;PYRÉNÉES ATLANTIQUES;Musée Municipal;6406201;Rue de l'Eglise;64260;ARUDY;0559056171;;www.museearudy.com ou www.ot-arudy.fr;Octobre à décembre;Ouvert du 1er janvier au 30 juin et en septembre du mardi au vendredi de 14h à 17h, le dimanche de 15h à 18h en juillet-août tous les jours de 10 h à 12 h et de 15 h à 18 h et du 1er octobre au 31 décembre le dimanche de 15 h à 18 h;;01/02/2003;;43.105937, -0.427188;43.105937, -0.427188;43.0837174382, -0.405880242828
NOUVELLE-AQUITAINE;VIENNE;Musée de Préhistoire Raymond Touchard;8614001;"La Sabline
21, Route de Montmorillon
 BP 23
B.P. 23";86320;LUSSAC-LES-CHATEAUX;0549833980;0549833989;www.lasabline.fr ou www.lussac-les-chateaux.fr;1er janvier, 1er Mai, 8 Mai, 1er et 11 novembre et  25 décembre;Ouvert de janvier à mars, d'octobre à décembre le mercredi et samedi de 10h à 12h et de 14h à 17h, d'avril à juin et septembre mercredi et samedi de 10h à 12h et de 14h à 17h et jeudi, vendredi et dimanche de 14h à 17h, en juillet-août du mardi au dimanch;;24/01/2006;;46.3927181385, 0.726435061295;;46.3927181385, 0.726435061295
NOUVELLE-AQUITAINE;PYRÉNÉES ATLANTIQUES;Musée Municipal des Beaux-Arts;6444501;Rue Mathieu Lalanne;64000;PAU;0559273302;0559980963;http://musee.ville-pau.fr;;Ouvert de 10h à 12h et de 14h à 18h;;01/02/2003;;43.297273, -0.364361;43.297273, -0.364361;43.3202428022, -0.349730360793
NOUVELLE-AQUITAINE;VIENNE;Musée de la Moto, de l'Automobile et du Vélo;8606603;"La Manu
3, Rue Clément Krebs";86100;CHATELLERAULT;0549210346;0549852588;www.agglo-chatellerault.fr;Janvier, 1er mai, le 25 décembre;Ouvert du 1er février au 30 juin et du 21 septembre au 31 décembre du mercredi au dimanche de 14h à 18h, du 1er juillet au 20 septembre  du mercredi au lundi de 10h à 12h et de 14h à 18h. Ouverture le lundi toute la journée, du mercredi au samedi le matin;;01/02/2003;;46.825162468, 0.575853305257;;46.825162468, 0.575853305257
OCCITANIE;GARD;Musée Municipal de la Vignasse;3003201;"Mairie
Rue de l'Hôtel de ville";30300;BEAUCAIRE;0466599007;0466594761;www.beaucaire.fr/spip.php?article65;Du 25 décembre au 2 janvier inclus, 1er & 8 mai, 1er & 11 novembre;Ouvert du 1er avril au 30 juin du mercredi au vendredi de 9h30 à 12h30 et de 14h à 18h et le samedi de 14h à 18h, du 1er juillet au 30 septembre du mercredi au dimanche de 9h30 à 12h30 et de 14h à 18h et du 1eroctobre au 31 mars de 14h à 17h;;01/02/2003;;43.780193328, 4.58229884673;;43.780193328, 4.58229884673
NOUVELLE-AQUITAINE;VIENNE;Musée Municipal de l'Hôtel de Sully;8606602;14, Rue Sully;86100;CHATELLERAULT;0549210127;0549852588;www.alienor.org;;;;01/02/2003;;46.815984, 0.542083;46.815984, 0.542083;46.825162468, 0.575853305257
NOUVELLE-AQUITAINE;VIENNE;Musée Municipal de la Maison-Dieu;8616502;6, Rue des Augustins;86500;MONTMORILLON;0549910232;;www.montmorillon.fr;;;;01/02/2003;;46.421876, 0.863517;46.421876, 0.863517;46.4016637433, 0.859768107385
NOUVELLE-AQUITAINE;PYRÉNÉES ATLANTIQUES;Musée Béarnais;6444504;"Association Régionaliste de Pyrénées
7 avenue Henri Faisans";64000;PAU;0559823800;0559823818;;;;;01/02/2003;;43.3202428022, -0.349730360793;;43.3202428022, -0.349730360793
HAUTS-DE-France;PAS-DE-CALAIS;Musée des Beaux-Arts et de la Dentelle;6219301;25, rue Richelieu;62100;CALAIS;0321464840;0321464847;www.musee.calais.fr;Jours fériés;Ouvert d'avril à octobre (haute saison) du mardi au dimanche de 13h à 18h et de novembrau à mars (basse saison) du mardi au dimanche de 13h à 17h;;01/02/2003;;50.956724, 1.851871;50.956724, 1.851871;50.9500651474, 1.87611226111
HAUTS-DE-France;OISE;Musée du Noyonnais;6047101;7, Rue de l'Evêché;60400;NOYON;0344094341;0344933639;www.ville-noyon.fr/Le-musee-du-Noyonnais.html;1er mai , 11 novembre, du 25 décembre au 2 janvier;Ouvert du mardi au dimanche de 10h à 12h et de 14h à 18h, 17h du 1er novembre au 31 mars;;01/02/2003;;49.581852, 2.999742;49.581852, 2.999742;49.570596222, 3.03778174468
HAUTS-DE-France;PAS-DE-CALAIS;Musée Quentovic;6231801;8, Place du Général de Gaulle;62630;ETAPLES-SUR-MER;0321940247;0321096003;www.musee-quentovic.fr/;;Ouvert de janvier à juin et de septembre à décembre du mercredi au samedi de 14h à 17h, le dimanche de 14h30 à 17h30 et en juillet-août du mercredi au samedi de 10h à 12h et de 14h à 18h, le dimanche de 10h à 12h et de 14h30 à 18h30;;01/02/2003;;50.513895, 1.637621;50.513895, 1.637621;50.551120902, 1.69769005391
HAUTS-DE-France;OISE;Musée de l'Archerie et de l'Art Sacré;6017601;Rue Gustave Chopinet;60800;CREPY-EN-VALOIS;0344592197;0344592152;www.musee-archerie-valois.fr;Mi novembre à mi-mars, 1er mai;Ouvert du mercredi au lundi du dernier week-end de mars au 11 novembre de 14h à 18h;;01/02/2003;;49.236775, 2.883938;49.236775, 2.883938;49.2264878438, 2.85069781136
ÎLE-DE-France;ESSONNE;Musée Intercommunal d'Etampes;9122301;Place de l'Hôtel de Ville et des Droits de l'Homme;91150;ETAMPES;0169926912;0169926903;site de la ville;1er janvier, 1er et 8 mai, 1er et 11 novembre, 25 décembre;Ouvert du mercredi au dimanche de 14h à 17h;;01/02/2003;;48.434307, 2.161909;48.434307, 2.161909;48.3976372242, 2.19700639301
HAUTS-DE-France;OISE;MUDO - Musée de l'Oise;6005701;1, Rue du musée;60000;BEAUVAIS;0344104050;0344484945;http://mudo.oise.fr/;1er janvier, lundi de Pâques, 1er mai, lundi de Pentecôte, 11 novembre, 25 décembre;Ouvert du mercredi au lundi de 11h à 18h;;01/02/2003;;49.432788, 2.080444;49.432788, 2.080444;49.4271955038, 2.08477380746
HAUTS-DE-France;PAS-DE-CALAIS;Musée Municipal Bruno Danvin;6276701;Rue Oscar Ricque;62130;SAINT-POL-SUR-TERNOISE;0321045625;0321475033;Site de la ville www.ville-saintpolsurternoise.fr/;;Ouvert le lundi de 11h à 13h, le mercredi et samedi de 15h à 18h, dimanche de 11h à 12h30 et de 15h à 18h;;01/02/2003;;50.381512, 2.337066;50.381512, 2.337066;50.3776719695, 2.31040804677
HAUTS-DE-France;SOMME;Musée Lombart;8025301;7, Rue du Musée;80600;DOULLENS;0322770007;0322770255;www.mairie-doullens.fr;;Ouvert du mardi au samedi de 14h à 17h et le premier dimanche du mois;;01/02/2003;;50.15482, 2.343235;50.15482, 2.343235;50.1635098178, 2.34121033549
HAUTS-DE-France;OISE;Musée Antoine Vivenel;6015904;"Hôtel de Songeons-Bicquilley
2, Rue d'Austerlitz";60200;COMPIEGNE;0344202604;0344202309;www.musee-vivenel.fr;1er janvier, 1er mai, 14 juillet, 1er novembre et 25 décembre;Ouvert du mardi au dimanche de 10h à 13h et de 14h à 18h;;01/02/2003;;49.3992378489, 2.8537782842;;49.3992378489, 2.8537782842
HAUTS-DE-France;SOMME;Musée Alfred Danicourt;8062001;"Hôtel de Ville
B.P. 20045";80201;PERONNE Cédex;0322733110;0322733101;Site internet de la ville www.ville-peronne.fr ou http://www.haute-somme.com/danicourt/;;Ouvert du mardi au vendredi de 14h à 17h30, le samedi de 9h à 12h et de 14h à 16h30. Le matin sur rendez-vous les mercredi jeudi et vendredi;;01/02/2003;;;;
ÎLE-DE-France;HAUTS DE SEINE;Musée Français de la Carte à Jouer;9204001;16, Rue Auguste Gervais;92130;ISSY-LES-MOULINEAUX;0141238360;0141238366;http://www.museecarteajouer.com/;Août et jours fériés;Ouvert du mercredi au vendredi de 11h à 17h, samedi et dimanche de 14h à 18h,  juillet-août du mercredi au dimanche de 13h à 18h. Groupes sur rendez-vous le mardi;Le jeudi jusqu'à 20h lors de la biennale;01/02/2003;;48.822771, 2.273453;48.822771, 2.273453;48.8232529299, 2.26429719337
ÎLE-DE-France;HAUTS DE SEINE;Musée Municipal d'Art et d'Histoire;9202501;2, Rue Gabriel Péri;92700;COLOMBES;0147863885;0147850075;Site de la ville - www.mairie-colombes.fr;Aoüt et 1 semaine durant les vacances de Noël;Ouvert du mercredi au samedi de 14h à 18h, vendredi de 16h à 19h pour les groupes sur réservation tout au long de la semaine;;01/02/2003;;48.923321, 2.252039;48.923321, 2.252039;48.9228285289, 2.24714560937
ÎLE-DE-France;HAUTS DE SEINE;Albert-Kahn, Musée et Jardin Départementaux;9201203;10-14, Rue du Port;92100;BOULOGNE-BILLANCOURT;0155192803;0146038659;albert-kahn.hauts-de-seine.fr/;1er janvier, 25 décembre;Ouvert du mardi au dimanche de 11h à 17h d'octobre à avril et de 11h à 18h de mai à septembre;;01/02/2003;;48.841354, 2.227488;48.841354, 2.227488;48.8364966292, 2.23867632216
ÎLE-DE-France;HAUTS DE SEINE;Sèvres - Cité de la Céramique;9207201;2, Place de la Manufacture;92310;SEVRES;0146292200;0146292208;www.sevresciteceramique.fr;1er janvier, 1er mai, 25 décembre;Les espaces d'exposition sont ouverts tous les jours de 10h à 17h;;06/01/2002;;48.821124, 2.205793;48.821124, 2.205793;48.8214320054, 2.20990136244
ÎLE-DE-France;HAUTS DE SEINE;Fondation Arp;9202301;21, Rue des Châtaigniers;92140;CLAMART;0145342263;0146238030;www.fondationarp.org;Août, semaine entre Noël et Nouvel An;Ouverture les jeudi, vendredi, samedi, dimanche de 14 à 18h;;09/03/2004;;48.803529, 2.244319;48.803529, 2.244319;48.7967176819, 2.25385173895
ÎLE-DE-France;PARIS;Musée de Montmartre;7511801;12, Rue Cortot;75018;PARIS;0149258937;0146063075;www.museedemontmartre.fr;;Ouvert de 10h à 18h d'octobre à mars et de 10h à 19h d'avril à septembre;;01/02/2003;;48.887709, 2.340577;48.887709, 2.340577;48.8923628559, 2.34785432498
ÎLE-DE-France;HAUTS DE SEINE;Musée Roybet Fould;9202601;"Parc de Bécon
178, Boulevard Saint Denis";92400;COURBEVOIE;0171057792;;https://www.ville-courbevoie.fr/culture-loisirs/equipements/musee-roybet-fould.htm;Fermé le 1er janvier, 1er mai, Pâques, Toussaint, Noël;Ouvert du mercredi au dimanche de 10h30 à 18h;;01/02/2003;;48.8983884255, 2.25522376319;;48.8983884255, 2.25522376319
ÎLE-DE-France;PARIS;Galerie d'Anatomie Comparée et de Paléontologie (Muséum d'Histoire Naturelle);7510508;"Jardin des Plantes
2, rue Buffon";75005;PARIS;0140795601;0140795448;www.mnhn.fr;1er mai;Ouvert du mercredi au lundi de 10h à 17h30;;06/01/2002;;48.844407753, 2.350655453;;48.844407753, 2.350655453
ÎLE-DE-France;PARIS;Etablissement public du musée d'Orsay et de l'Orangerie - Musée Hébert;7510603;"Hôtel de Montmorency-Bours
85, Rue du Cherche Midi";75006;PARIS;0142222382;0145484239;http://www.musee-orsay.fr/fr/info/musee-hebert.html;;;;06/01/2002;;48.8492531918, 2.33300877472;;48.8492531918, 2.33300877472
ÎLE-DE-France;HAUTS DE SEINE;Musée Franco-Suisse;9206304;13, Boulevard Foch;92501;RUEIL-MALMAISON Cedex;0147326650;;Site de la mairie : /www.mairie-rueilmalmaison.fr;Juillet et août;ouvert tous les jeudis de 14h30 à 18h ou sur rendez-vous les autres jours;;01/02/2003;;;;
OCCITANIE;HERAULT;Muséum d'Histoire Naturelle;3403203;15 Place Pierre Semard;34500;BEZIERS;0467368161;0467368169;Site de la ville;1er janvier, dimanche de Pâques, 1er mai et 25 décembre;Ouvert du  1 er avril au 30 juin de 9h à 12h et de 14h à 18h,  du 1 er juillet au 31 août de 10h à 18h,	 duer septembre au 31 octobre de 9h à 12h et de 14h à 18h,	 duer novembre au 31 mars de 9h à 12h et de 14h 17h;;01/02/2003;;43.343271, 3.211298;43.343271, 3.211298;43.3428885301, 3.23996566024
OCCITANIE;HERAULT;Musée Agathois;3400301;5 rue de la Fraternité;34300;AGDE;0467948251;0467010314;;24 décembre au 2 janvier, jours fériés;Ouvert de septembre à juin du mardi au samedi de 9h à 12h et de 14h à 17h30 en juillet-août du mardi au samedi de 10h à 17h;;01/02/2003;;43.311837, 3.468587;43.311837, 3.468587;43.3094378248, 3.48447174054
OCCITANIE;HAUTES-PYRENEES;Muséum d'Histoire Naturelle;6505905;7, Place des Thermes de Salut;65200;BAGNERES-DE-BIGORRE;0562911205;;www.museesbagneres.fr/;;Ouvert de mai à octobre du mercredi au dimanche de 15h à 18h, de novembre à avril le mercredi et dimanche de 15h à 18h;;01/02/2003;;43.062516, 0.146987;43.062516, 0.146987;43.0346588013, 0.142823788541
OCCITANIE;HAUTES-PYRENEES;Musée Municipal - Musée Trésor;6529501;Presbytère;65120;LUZ-SAINT-SAUVEUR;0562923588;;;;Ouvert tous les jours de juin à septembre de 16h à 18h30;;01/02/2003;;42.865782, 0.001324;42.865782, 0.001324;42.8310164277, 0.0356881047595
OCCITANIE;HAUTES-PYRENEES;Musée de la Vie Quotidienne dans les Pyrénées;6505901;Rue Hount-Blanque;65200;BAGNERES-DE-BIGORRE;0562910733;;www.museesbagneres.fr/;;;;01/02/2003;;43.065608, 0.153629;43.065608, 0.153629;43.0346588013, 0.142823788541
PAYS DE LA LOIRE;LOIRE-ATLANTIQUE;Musée des Beaux-Arts de Nantes;4410902;10, Rue Georges Clémenceau;44000;NANTES;0251174500;0240416790;www.museedesbeauxarts.nantes.fr;1er et 11 novembre, 25 décembre;La Chapelle de l'Oratoire est ouverte du mercredi au lundi de 10h à 18h,  du 15 juin au 19 août ouvert du mardi au dimanche de 10h à 19h, nocturne le jeudi jusqu'à 20h. La HAB Galerie est ouverte du 19 octobre au 6 janvier du mercredi au dimanche de 13h30;Jeudi jusqu'à 20 h;06/01/2002;;47.219276, -1.547096;47.219276, -1.547096;47.2321830557, -1.54780684906
PAYS DE LA LOIRE;MAINE-ET-LOIRE;Musée de l'Ardoise;4935301;32, Chemin de la Maraîchère;49800;TRELAZE;0241690471;0241690471;www.lemuseedelardoise.fr;24 décembre au 15 janvier;Ouvert à partir du 16 janvier du mardi au vendredi de 9h à 12h et de 14h à 17h, du 15 février au 30 juin et du 1er septembre au 15 novembre samedi-dimanche et jours fériés de 14h30 à 18h30, en juillet-août du mardi au vendredi de 9h à 12h et de 14h30 à 18;;01/02/2003;;47.450792, -0.491518;47.450792, -0.491518;47.4402094612, -0.379405488422
PAYS DE LA LOIRE;MAINE-ET-LOIRE;Musée du Textile;4909904;Rue du Docteur Roux;49300;CHOLET;0241752550;0241752255;www.museedutextile.com ou www.ville-cholet.fr/musee-textile.php;1er janvier, 1ermai, 25 décembre;Ouvert du mercredi au samedi, et jours fériés de 10h à 12h et de 14h à 18h, le dimanche de 14h à 18h, en juillet-août ouverture supplémentaire le mardi;;06/04/2002;;47.069587, -0.897687;47.069587, -0.897687;47.0459625077, -0.876963134951
PAYS DE LA LOIRE;MAINE-ET-LOIRE;Muséum des Sciences Naturelles;4900708;43, Rue Jules Guitton;49100;ANGERS;0241054850;0241054851;www.angers.fr/museum;1er janvier, 1er mai, 1er et 11 novembre et 25 décembre;Ouvert du mardi au dimanche de 14h à 18h. Le matin pour les groupes sur réservation;;01/02/2003;;47.473467, -0.546399;47.473467, -0.546399;47.4764503449, -0.55599583518
OCCITANIE;TARN-ET-GARONNE;Musée Théodore Calbet;8207501;15, Rue Jean de Comère;82170;GRISOLLES;0563028306;0563673889;www.museecalbet.com;Jours fériés;Ouvert du mercredi au samedi de 15h à 18h et sur rendez-vous pour les groupes et les scolaires;;01/02/2003;;43.827651, 1.294738;43.827651, 1.294738;43.850881886, 1.29238208556
PAYS DE LA LOIRE;MAYENNE;Musée d'Art et d'Archéologie Hôtel Fouquet;5306201;2, Rue Jean Bourré;53200;CHATEAU-GONTIER;0243095598;0243709552;http://patrimoine.chateaugontier.fr/;;Ouvert  du mercredi au dimanche de 15h à 18h de la nuit des musées aux JEP. Ouvert toute l'année pour les groupes et individuels sur réservation;;01/02/2003;;47.828879, -0.705135;47.828879, -0.705135;47.8199489086, -0.703656647783
PAYS DE LA LOIRE;MAINE-ET-LOIRE;Château-Musée;4932802;;49400;SAUMUR;0241402440;0241402449;www.chateau-saumur.com;;Ouvert du mardi au dimanche et les lundis fériés du 1er avril au 14 juin et du 16 septembre au 2 novembre de 10h à 13h et de 14h à 17h30 et du 15 juin au 15 septembre tous les jours de 10h à 18h30;;01/02/2003;;47.258651, -0.079223;47.258651, -0.079223;47.2533599269, -0.096565442499
OCCITANIE;TARN;Musée du Pays Rabastinois;8122001;"Hôtel de La Fite
2, Rue Amédée Clausade";81800;RABASTENS;0563406565;0563336405;Site de la région : www.musees-midi-pyrenees.fr/musees/musee-du-pays-rabastinois;Décembre;Ouvert du mardi au vendredi de 10h à 12h et de 14h à 18h, samedi, dimanche et jours fériés de 14h à 18h;Nuit des musées;01/02/2003;;43.8337179111, 1.69697473698;;43.8337179111, 1.69697473698
PAYS DE LA LOIRE;MAYENNE;Musée Communal Robert Tatin;5307701;"""La Maison des Champs""
La Frénouse";53230;COSSE-LE-VIVIEN;0243988089;0243987889;www.musee-robert-tatin.fr;Janvier, 24 & 25 décembre;Ouvert de février à mai et de septembre à décembre tous les jours de 10h à 18h et de juin à août de 10h à 19h;;28/06/2002;;47.9490046036, -0.924040792242;;47.9490046036, -0.924040792242
PAYS DE LA LOIRE;LOIRE-ATLANTIQUE;Musée du Pays de Guérande et de la Porte Saint Michel;4406901;"Porte Saint-Michel
CS 85139";44351;GUERANDE Cedex;0228550505;0228550505;site de la ville - www.ville-guerande.fr;Janvier à mars et de novembre à décembre;Ouvert d'avril à septembre du lundi après-midi au dimanche de 10h à 12h30 et de 14h30 à 19h, en octobre de 10h à 12h et de 14h à 18h;;01/02/2003;;;;
